Sequence,survey.status,dev.status,ecosystem,my.eco.role,my.eco.years,value.eco.stability,value.eco.innovation,value.eco.replicability,value.eco.compatibility,value.eco.rapid.access,value.eco.quality,value.eco.commerce,value.eco.community,value.eco.openness,value.eco.curation,value.eco.fun,value.eco.confidence,power.eco.endusers,power.eco.devs,power.eco.leaders,power.eco.gatekeepers,power.eco.sponsors,power.fair,health.eco.not.recruit,health.eco.leave,health.eco.not.innov,health.eco.isolated,health.eco.not.diverse,health.eco.unstable,health.eco.similar,health.eco.low.quality,health.eco.not.rapid,health.eco.dllhell,health.eco.not.democratic,health.eco.not.commercial,my.package.named,my.is.submitted,my.has.revdeps,package.default,value.my.stability,value.my.innovation,value.my.replicability,value.my.compatibility,value.my.rapid.access,value.my.quality,value.my.commerce,value.my.community,value.my.openness,value.my.curation,value.my.fun,change.dep.freq,change.pkg.freq,rel.batch,rel.backcompat.design,rel.fixed.schedule,sync.sched,rel.backcompat.extra.time,upgr.backport,rel.constrained.from.changes,know.users.needs,mon.semver.eco,mon.versionless.updates.eco,sync.sched.eco,gate.strict.standards.eco,mon.versionless.updates,mon.semver,mon.change.log,sync.headsup,rework.migration.guide,rework.assist.user,sync.liaison,sync.liaison.code,sync.liaison.freq,mon.internal.media,mon.external.media,mon.personal.contact,mon.tool.notify,mon.something.breaks,upgr.packrat,upgr.packrat.eco,abst.research,abst.dep.aversion,upgr.dont.update,abst.shim,abst.clone,rework.hell,education,oss.experience,dev.experience,motive.intq1.satisfaction,motive.intq2.goodat,motive.intq3.fun,motive.intq4.achieve,motive.int,motive.staq1.skill,motive.staq2.work.status,motive.staq3.opportunity,motive.staq4.cmnty.status,motive.sta,motive.uv,motive.uvq1.fix.bug,motive.uvq2.add.feature,motive.job
1061,finished,user,Haskell (Stack/Stackage),lead,<5 years,Somewhat Important,Very Important,Very Important,Extremely important,Somewhat Important,Very Important,Important,Extremely important,Important,Extremely important,Very Important,Very confident,I don't know/Not Applicable,High influence,Highest influence,I don't know/Not Applicable,I don't know/Not Applicable,Somewhat agree,I don't know,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,I don't know,Somewhat agree,TRUE,in repo,no rev dependencies,NA,Somewhat Important,Important,Extremely important,Very Important,Very Important,Extremely important,Very Important,Extremely important,Somewhat Important,Important,Extremely important,Never,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,I don't know,Somewhat agree,Somewhat disagree,Somewhat disagree,NA,NA,NA,NA,NA,NA,Yes,Yes,Several times a month,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,snapshot,Version range,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,None,<5 years,<5 years,Great importance,(mid-hi importance),Great importance,Great importance,13.76,(mid-hi importance),(mid importance),(mid-hi importance),Great importance,11.06,6.75,(mid-hi importance),Great importance,(mid importance)
1062,finished,developer,Python/PyPi,lead,5+ years,Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Not Important,Very Important,Very Important,Not Important,Very Important,Confident,Low influence,Highest influence,High influence,I don't know/Not Applicable,Medium influence,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,TRUE,in repo,has rev dependencies,installable package,Very Important,Very Important,Somewhat Important,Extremely important,Extremely important,Extremely important,Not Important,Extremely important,Very Important,Important,Extremely important,Several times a year,Less than once a year,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Several times a month,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Just name,Just name,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Coursework,5+ years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,(mid-hi importance),Great importance,Great importance,Great importance,13.2,7.75,Great importance,Great importance,Great importance
1063,abandoned,user,Python/PyPi,submitter,5+ years,Very Important,Somewhat Important,Extremely important,Extremely important,Very Important,Extremely important,Important,Important,Not Important,Not Important,Somewhat Important,NA,Low influence,High influence,High influence,High influence,High influence,Somewhat disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1064,abandoned,developer,other,central,5+ years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1065,abandoned,developer,other,committer,<5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1066,finished,user,Haskell (Stack/Stackage),lead,5+ years,Important,Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Important,Extremely important,Very Important,Slightly confident,Highest influence,High influence,Medium influence,I don't know/Not Applicable,Medium influence,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,I don't know,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,TRUE,self-published,no rev dependencies,NA,Extremely important,Important,Extremely important,Extremely important,Important,Extremely important,Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Less than once a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,I don't know,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,NA,NA,NA,NA,NA,NA,Yes,Yes,Several times a year,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Version range,Version range,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Degree,<5 years,<5 years,(mid-hi importance),Great importance,Great importance,Great importance,13.72,(mid importance),(mid importance),Great importance,(mid-low importance),9.11,4.65,(mid importance),(mid importance),(mid-hi importance)
1067,abandoned,user,Haskell (Stack/Stackage),submitter,<5 years,Very Important,Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Important,Somewhat Important,Important,Important,Somewhat Important,Confident,Low influence,Medium influence,High influence,High influence,Medium influence,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,I don't know,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1068,abandoned,developer,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1069,finished,developer,Python/PyPi,central,5+ years,Important,Very Important,Very Important,Not Important,Somewhat Important,Important,Somewhat Important,Important,Not Important,Not Important,Very Important,Confident,Low influence,High influence,Highest influence,I don't know/Not Applicable,Low influence,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,I don't know,Somewhat agree,Strongly disagree,Neither agree nor disagree,TRUE,in repo,has rev dependencies,installable package,Somewhat Important,Extremely important,Very Important,Extremely important,Not Important,Very Important,Extremely important,Very Important,Not Important,Important,Very Important,Several times a year,Several times a year,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Yes,Yes,Several times a month,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Version range,Just name,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Degree,5+ years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,Great importance,Great importance,(mid-hi importance),Great importance,13.11,1.55,Little importance,Little importance,Great importance
1070,finished,developer,Python/PyPi,lead,5+ years,Somewhat Important,Important,Very Important,Somewhat Important,Very Important,Not Important,Somewhat Important,Not Important,Not Important,Not Important,Somewhat Important,Slightly confident,Low influence,Highest influence,High influence,I don't know/Not Applicable,Lowest influence,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,TRUE,in repo,has rev dependencies,installable package,Important,Important,Extremely important,Very Important,Extremely important,Extremely important,Somewhat Important,Somewhat Important,Important,Not Important,Somewhat Important,Never,Less than once a year,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,No,No,Never,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Version range,Version range,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Degree,5+ years,5+ years,(mid-hi importance),Great importance,Great importance,Great importance,13.72,(mid importance),Little importance,Great importance,Great importance,9.75,7.75,Great importance,Great importance,Little importance
1071,abandoned,developer,CocoaPods,lead,<5 years,Very Important,Somewhat Important,Extremely important,Important,Somewhat Important,Very Important,Not Important,Important,Not Important,Important,Important,Confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1072,finished,user,Python/PyPi,lead,<5 years,Very Important,Somewhat Important,Important,Very Important,Important,Very Important,Somewhat Important,Very Important,I don't know,Very Important,Important,Confident,Medium influence,High influence,Low influence,Low influence,Lowest influence,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,TRUE,in repo,no rev dependencies,NA,Very Important,Important,Somewhat Important,Very Important,Important,Extremely important,Not Important,Somewhat Important,Important,Very Important,Very Important,Several times a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,NA,NA,NA,NA,NA,NA,No,No,Never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Version range,I don't know,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Degree,5+ years,5+ years,Great importance,(mid-hi importance),(mid-hi importance),(mid-hi importance),12.38,Great importance,Little importance,(mid importance),Little importance,6.85,3.75,Little importance,Great importance,Little importance
1073,finished,user,Python/PyPi,lead,5+ years,Important,Important,Extremely important,Extremely important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Not Important,Extremely important,Slightly confident,Medium influence,Highest influence,Low influence,Low influence,Low influence,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,TRUE,in repo,no rev dependencies,NA,Somewhat Important,Important,Extremely important,Extremely important,Extremely important,Important,Somewhat Important,Important,Not Important,Important,Extremely important,Less than once a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,NA,NA,NA,NA,NA,NA,Yes,Yes,Several times a year,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Just name,Version range,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Coursework,5+ years,<5 years,Great importance,(mid importance),(mid-hi importance),(mid-hi importance),11.64,(mid-hi importance),(mid-hi importance),(mid-hi importance),(mid-hi importance),11.08,7.75,Great importance,Great importance,(mid-low importance)
1074,finished,developer,Python/PyPi,central,5+ years,Extremely important,Important,Extremely important,Somewhat Important,Extremely important,Very Important,Important,Extremely important,Extremely important,Not Important,Very Important,Very confident,Lowest influence,Highest influence,Highest influence,Highest influence,Lowest influence,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,TRUE,self-published,has rev dependencies,installable package,Not Important,Important,Somewhat Important,Somewhat Important,Not Important,Extremely important,Not Important,Not Important,Somewhat Important,Extremely important,Extremely important,Never,Several times a year,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,I don't know,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,Yes,Several times a year,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Just name,Just name,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Coursework,5+ years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,Great importance,Great importance,Great importance,Great importance,13.85,7.75,Great importance,Great importance,Great importance
1075,abandoned,developer,PHP/Packagist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1076,abandoned,developer,other,lead,<5 years,Very Important,Not Important,Extremely important,Very Important,Very Important,Important,Important,Very Important,Not Important,Important,Important,Confident,Low influence,High influence,Highest influence,Low influence,Medium influence,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,I don't know,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1077,abandoned,developer,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1078,abandoned,developer,PHP/Packagist,committer,<5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1079,abandoned,user,PHP/Packagist,user,<5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1080,finished,developer,Python/PyPi,lead,<5 years,Somewhat Important,Somewhat Important,I don't know,Somewhat Important,Very Important,I don't know,I don't know,Very Important,I don't know,Not Important,Important,Not confident,Low influence,Highest influence,I don't know/Not Applicable,I don't know/Not Applicable,High influence,Strongly agree,Strongly disagree,I don't know,Strongly disagree,Neither agree nor disagree,I don't know,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,TRUE,self-published,has rev dependencies,installable package,Extremely important,Somewhat Important,Not Important,Not Important,Extremely important,Extremely important,Important,Important,Not Important,Very Important,Very Important,Never,Less than once a year,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,I don't know,I don't know,I don't know,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,Never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Just name,I don't know,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Degree,5+ years,5+ years,(mid-hi importance),(mid-hi importance),Great importance,(mid-hi importance),12.27,(mid-low importance),(mid importance),(mid-low importance),Little importance,5.56,7.75,Great importance,Great importance,(mid-hi importance)
1081,finished,user,Python/PyPi,lead,5+ years,Somewhat Important,Very Important,Extremely important,Important,Important,Extremely important,Important,Extremely important,Important,I don't know,Important,Confident,Lowest influence,Highest influence,High influence,Medium influence,Low influence,Strongly agree,I don't know,I don't know,I don't know,I don't know,I don't know,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,TRUE,in repo,no rev dependencies,NA,Somewhat Important,Extremely important,Very Important,Important,Very Important,Very Important,Somewhat Important,Very Important,Important,Important,Very Important,Less than once a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,NA,NA,NA,NA,NA,NA,Yes,Yes,Several times a year,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Version range,Version range,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Degree,5+ years,5+ years,Great importance,(mid importance),(mid-hi importance),(mid importance),10.93,(mid-low importance),Little importance,(mid importance),Little importance,4.9,7.2,Great importance,(mid-hi importance),(mid-low importance)
1082,finished,user,Haskell (Cabal/Hackage),lead,5+ years,Extremely important,Important,Extremely important,Very Important,Very Important,Important,Somewhat Important,Important,Important,Somewhat Important,Important,Confident,Medium influence,High influence,High influence,Lowest influence,Lowest influence,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,I don't know,TRUE,in repo,no rev dependencies,NA,Somewhat Important,Important,Very Important,Not Important,Very Important,Extremely important,Not Important,Very Important,Not Important,Very Important,Extremely important,Several times a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,NA,NA,NA,NA,NA,NA,Yes,Yes,Several times a month,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Version range,Version range,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Coursework,5+ years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,(mid-low importance),Little importance,(mid-low importance),(mid-low importance),4.84,7.75,Great importance,Great importance,Little importance
1083,finished,developer,Haskell (Cabal/Hackage),central,5+ years,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Important,Somewhat Important,Somewhat Important,Important,Important,Important,Important,Confident,Low influence,High influence,High influence,High influence,Medium influence,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,TRUE,in repo,has rev dependencies,default package,Very Important,Not Important,Important,Very Important,Somewhat Important,Extremely important,Important,Somewhat Important,Not Important,Important,Very Important,Several times a year,Less than once a year,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Yes,No,Several times a year,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Version range,Version range,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Degree,5+ years,5+ years,(mid-hi importance),(mid-hi importance),(mid-hi importance),(mid-hi importance),11.6,(mid-hi importance),(mid-low importance),(mid-low importance),(mid-hi importance),8.2,3.65,(mid-low importance),(mid importance),Little importance
1084,finished,developer,Haskell (Cabal/Hackage),central,5+ years,Very Important,Very Important,Very Important,Very Important,Important,Extremely important,Somewhat Important,Important,Very Important,Important,Important,Confident,Medium influence,High influence,High influence,Lowest influence,Lowest influence,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,I don't know,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,TRUE,in repo,has rev dependencies,installable package,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Less than once a year,Less than once a year,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Several times a week,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Version range,Version range,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Degree,5+ years,5+ years,(mid-hi importance),(mid-hi importance),Great importance,(mid-hi importance),12.27,(mid-hi importance),(mid importance),(mid-hi importance),(mid importance),9.7,6.2,(mid-hi importance),(mid-hi importance),(mid-hi importance)
1085,abandoned,developer,PHP/Packagist,lead,<5 years,Somewhat Important,Very Important,Very Important,Extremely important,Important,Extremely important,Not Important,Very Important,Extremely important,Very Important,Very Important,Confident,Medium influence,High influence,High influence,Highest influence,I don't know/Not Applicable,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1086,abandoned,user,Python/PyPi,user,5+ years,Important,Somewhat Important,Not Important,Somewhat Important,Somewhat Important,Somewhat Important,Not Important,Important,Important,Important,Not Important,Not confident,Lowest influence,High influence,High influence,High influence,I don't know/Not Applicable,Somewhat disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
